Season,Team,W,L,Win Rate,OBP,SLG,ERA
2025,ARI,11,7,0.611111111,0.345679012,0.453371592,0.5218867494612494
2024,ARI,89,73,0.549382716,0.337285691,0.44005795,0.6481174078151664
2023,ARI,84,78,0.518518519,0.321663379,0.408204562,0.6067684131772335
2022,ARI,74,88,0.456790123,0.304238985,0.385161652,0.5408644931048654
2021,ARI,52,110,0.320987654,0.309102815,0.382401165,0.7988130956993504
2020,ARI,25,35,0.416666667,0.31247206,0.391086629,0.7108085596568072
2019,ARI,85,77,0.524691358,0.322934903,0.434404402,0.5381289533169982
2018,ARI,82,80,0.50617284,0.309792381,0.397435897,0.3891409944956874
2017,ARI,93,69,0.574074074,0.329398447,0.444705882,0.3731481092321134
2016,ARI,69,93,0.425925926,0.32046332,0.431774051,0.7819198893979586
2015,ARI,79,83,0.487654321,0.323807994,0.41440963,0.4819297712561901
2014,ARI,64,98,0.395061728,0.301874274,0.375720461,0.5412670807075526
2013,ARI,81,81,0.5,0.323196943,0.391472868,0.4442037305533528
2012,ARI,81,81,0.5,0.327911943,0.418161845,0.450909980148465
2011,ARI,94,68,0.580246914,0.322361892,0.413207895,0.40916655863992
2010,ARI,65,97,0.401234568,0.324649951,0.415676959,0.7003172723941931
2025,ATH,8,10,0.444444444,0.313451776,0.42976356,0.6357456435809241
2025,ATL,5,13,0.277777778,0.306756756,0.378582202,0.6003115881499088
2024,ATL,89,73,0.549382716,0.309417779,0.415070242,0.3193354766804115
2023,ATL,104,58,0.641975309,0.343955164,0.500804002,0.5071407531953263
2022,ATL,101,61,0.62345679,0.317382009,0.443456162,0.3107262545048727
2021,ATL,88,73,0.546583851,0.319329126,0.435017713,0.4363417864249403
2020,ATL,35,25,0.583333333,0.349125053,0.482642237,0.6008707519953933
2019,ATL,97,65,0.598765432,0.336467963,0.452158273,0.5251882975756974
2018,ATL,90,72,0.555555556,0.324089003,0.417413113,0.3955912036645639
2017,ATL,72,90,0.444444444,0.326023391,0.412428366,0.6751548601764512
2016,ATL,68,93,0.422360248,0.320711604,0.384294523,0.6136758732680561
2015,ATL,67,95,0.413580247,0.314448541,0.359409594,0.5867221137586895
2014,ATL,79,83,0.487654321,0.304658901,0.360095098,0.2898959928691559
2013,ATL,96,66,0.592592593,0.321258027,0.401764381,0.2304545069060848
2012,ATL,94,68,0.580246914,0.319828722,0.389124423,0.3000043881964915
2011,ATL,89,73,0.549382716,0.30821018,0.387120115,0.3192096244564413
2010,ATL,91,71,0.561728395,0.338994015,0.400878638,0.3437458969463423
2025,BAL,7,10,0.411764706,0.305785123,0.420890937,0.59406499614906
2024,BAL,91,71,0.561728395,0.315328467,0.435423028,0.4515388538208811
2023,BAL,101,61,0.62345679,0.320708312,0.420928116,0.440633702802276
2022,BAL,83,79,0.512345679,0.305090366,0.390311291,0.4602199737452803
2021,BAL,52,110,0.320987654,0.303670186,0.401660516,1.0
2020,BAL,25,35,0.416666667,0.320610687,0.429417571,0.6149193248711076
2019,BAL,54,108,0.333333333,0.310087577,0.414581844,0.9485306241109644
2018,BAL,47,115,0.290123457,0.29828932,0.390956963,0.8100117433208478
2017,BAL,75,87,0.462962963,0.311796377,0.435044247,0.747450704045713
2016,BAL,89,73,0.549382716,0.317028985,0.44333816,0.5300981741452895
2015,BAL,81,81,0.5,0.307216839,0.42060164,0.482652796679704
2014,BAL,96,66,0.592592593,0.31123872,0.422265904,0.3051903430689117
2013,BAL,85,77,0.524691358,0.312571521,0.430960854,0.5250296143502242
2012,BAL,93,69,0.574074074,0.311274509,0.41708633,0.4376036166891157
2011,BAL,69,93,0.425925926,0.316046966,0.412891674,0.7328773651969864
2010,BAL,66,96,0.407407407,0.315616258,0.386208138,0.6383658675048471
2025,BOS,10,10,0.5,0.326315789,0.397368421,0.5141001539916441
2024,BOS,81,81,0.5,0.318615558,0.422628653,0.4824653504297458
2023,BOS,78,84,0.481481481,0.324016899,0.424307802,0.6170261644760446
2022,BOS,78,84,0.481481481,0.321044045,0.409460191,0.621552674351517
2021,BOS,92,70,0.567901235,0.328477905,0.448953594,0.5467122830605913
2020,BOS,24,36,0.4,0.330434782,0.445031204,0.9233548874838278
2019,BOS,84,78,0.518518519,0.339841933,0.465857885,0.668878050885755
2018,BOS,108,54,0.666666667,0.338840349,0.453494575,0.3958873336563357
2017,BOS,93,69,0.574074074,0.329435929,0.406597283,0.390876010439841
2016,BOS,93,69,0.574074074,0.348439233,0.461199294,0.4677904149072478
2015,BOS,78,84,0.481481481,0.325330325,0.414539007,0.5647368228255985
2014,BOS,71,91,0.438271605,0.315501127,0.368582237,0.4703412750427651
2013,BOS,97,65,0.598765432,0.349228832,0.446115731,0.4082736494828554
2012,BOS,69,93,0.425925926,0.315068493,0.414882226,0.6753809164688314
2011,BOS,90,72,0.555555556,0.34877896,0.460770577,0.5249903517012784
2010,BOS,89,73,0.549382716,0.339076825,0.450938717,0.5219838099821943
2025,CHC,12,9,0.571428571,0.345612134,0.461728395,0.5064593804587383
2024,CHC,83,79,0.512345679,0.317153164,0.393126263,0.4067068637763176
2023,CHC,83,79,0.512345679,0.329840399,0.420784883,0.4947569413595365
2022,CHC,74,88,0.456790123,0.311302048,0.386543778,0.475373668814669
2021,CHC,71,91,0.438271605,0.311804384,0.407463249,0.7211116483556808
2020,CHC,34,26,0.566666667,0.317811934,0.386861313,0.4656706945552016
2019,CHC,84,78,0.518518519,0.33127839,0.45193188,0.4964959734045342
2018,CHC,95,68,0.582822086,0.333175205,0.410384068,0.3653884859703111
2017,CHC,92,70,0.567901235,0.337933247,0.437227074,0.4545173986765018
2016,CHC,103,58,0.639751553,0.343452002,0.428675268,0.2228245623290105
2015,CHC,97,65,0.598765432,0.321388033,0.398105991,0.2838964711295318
2014,CHC,73,89,0.450617284,0.299586435,0.38453159,0.4456024393576252
2013,CHC,66,96,0.407407407,0.300464037,0.392142597,0.4665286692710573
2012,CHC,61,101,0.37654321,0.301603375,0.377933838,0.6137260369109339
2011,CHC,71,91,0.438271605,0.314271588,0.400792935,0.5660873363896797
2010,CHC,75,87,0.462962963,0.319624938,0.401487663,0.5369810812208327
2025,CHW,4,13,0.235294118,0.266479663,0.297045101,0.4766497053063794
2024,CHW,41,121,0.25308642,0.277872777,0.33995913,0.6608919852554382
2023,CHW,61,101,0.37654321,0.291491861,0.383748409,0.7205637303302459
2022,CHW,81,81,0.5,0.310463402,0.387096774,0.4488813460349099
2021,CHW,93,69,0.574074074,0.336138613,0.42225126,0.3886142730237762
