Season,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
2025,New York Mets,18,11,7,5,76,18,159,9.509434875,3.45283052,0.452830232,0.293975904,0.7827476,0.487980769,0.0625,95.21545336,2.377358719,,2.853098625,3.350265624,3.511414301
2025,San Diego Padres,19,15,4,9,84,19,169,8.786982844,3.408284254,0.692307739,0.239631336,0.80335731,0.394557823,0.067010309,94.2806272,2.556213191,,3.264769232,3.906393341,3.220550986
2025,Boston Red Sox,20,10,10,7,82,20,177.1,8.424812634,2.943609234,0.812030133,0.316929134,0.66183137,0.454368932,0.086486486,95.28169705,4.161654434,,3.427624608,3.746593404,3.057147435
2025,Cincinnati Reds,18,9,9,5,77,18,159.1,7.96443591,2.598326609,1.016736499,0.214622642,0.73795181,0.354022988,0.091836734,95.55146213,2.993724136,,3.631670316,3.922222329,2.855833961
2025,Pittsburgh Pirates,19,7,12,3,82,19,172.1,7.885880528,3.342359959,0.574468118,0.27926078,0.66473988,0.460122699,0.06547619,94.01479778,4.021276826,,3.410718215,3.975046264,2.752645744
2025,Texas Rangers,18,11,7,7,77,18,156,8.596154582,2.596154068,0.807692377,0.274881517,0.69110577,0.442396313,0.097222222,93.7822819,3.461538758,,3.343664706,3.497066889,2.699204785
2025,Philadelphia Phillies,18,10,8,5,77,18,160,9.843750704,3.206250229,1.181250084,0.320665083,0.74367089,0.421658986,0.117318435,94.6000411,4.162500298,,3.710331395,3.603977315,2.520895937
2025,St. Louis Cardinals,18,9,9,5,80,18,165.2,7.442656564,3.042253778,0.651911524,0.26124197,0.62289562,0.450526315,0.068965517,94.59153667,4.074447024,,3.402685502,3.963045564,2.499977451
2025,Houston Astros,18,8,10,5,77,18,161.2,10.07628923,3.28453627,0.946391807,0.264339152,0.72202166,0.38592233,0.101190476,94.20662322,3.72989712,,3.381465386,3.500553196,2.472353553
2025,Los Angeles Dodgers,20,14,6,9,96,20,177,9.762712233,4.169491683,0.966101731,0.280973451,0.7122093,0.425213675,0.112426035,94.85079506,3.864406925,,3.710896343,3.680854549,2.208874008
