name,wins,losses,win_rate,obp,slg,era,war
New York Yankees,17,11,0.6071428571428571,1.0,0.776470588235294,0.630093640065888,1.65756475
Boston Red Sox,16,14,0.5333333333333333,0.625,0.6588235294117646,0.6117390416203202,3.057147435
Tampa Bay Rays,14,14,0.5,0.375,0.3411764705882352,0.36377859229994247,0.898653634
Toronto Blue Jays,13,15,0.4642857142857143,0.0625,0.07058823529411762,0.3375353083779765,2.121719347
Baltimore Orioles,10,17,0.37037037037037035,0.625,0.18823529411764706,0.7068909599141088,1.285700953
Detroit Tigers,18,10,0.6428571428571429,0.4375,0.48235294117647043,0.38891398786069586,1.185581099
Cleveland Guardians,15,12,0.5555555555555556,0.53125,0.19999999999999996,0.5283291140414691,0.887338353
Kansas City Royals,14,15,0.4827586206896552,0.0,0.08235294117647052,0.3282076966296751,2.197980127
Minnesota Twins,12,16,0.42857142857142855,0.25,0.19999999999999996,0.4675069479877888,1.927335721
Chicago White Sox,7,21,0.25,0.28125,0.09411764705882342,0.5671759317449786,0.945110539
Seattle Mariners,16,12,0.5714285714285714,0.90625,0.5529411764705883,0.48051482328752015,1.811076032
Texas Rangers,15,13,0.5357142857142857,0.53125,0.0,0.37170702839564995,2.699204785
Houston Astros,14,13,0.5185185185185185,0.25,0.09411764705882342,0.46371267846844566,2.472353553
Los Angeles Angels,12,15,0.4444444444444444,0.8125,0.17647058823529416,0.8002205871209432,0.059938118
New York Mets,20,9,0.6896551724137931,0.375,0.3294117647058823,0.0,3.511414301
Philadelphia Phillies,15,13,0.5357142857142857,0.28125,0.388235294117647,0.6120290428955301,2.520895937
Washington Nationals,13,16,0.4482758620689655,0.5,0.3176470588235294,0.9848743701121246,0.99142401
Atlanta Braves,12,15,0.4444444444444444,0.6875,0.2705882352941176,0.7143239167094494,-0.122795393
Miami Marlins,12,15,0.4444444444444444,0.34375,0.3411764705882352,0.7376932887620632,-0.005147759
Chicago Cubs,17,12,0.5862068965517241,0.78125,1.0,0.6026471177918692,1.071863677
Cincinnati Reds,15,13,0.5357142857142857,0.59375,0.7058823529411764,0.21131855348511486,2.855833961
Milwaukee Brewers,14,15,0.4827586206896552,0.40625,0.5294117647058822,0.7124036298873736,0.515983589
St. Louis Cardinals,12,16,0.42857142857142855,0.34375,0.45882352941176463,0.5818403107277282,2.499977451
Pittsburgh Pirates,11,18,0.3793103448275862,0.3125,0.18823529411764706,0.5636111093157398,2.752645744
San Francisco Giants,19,10,0.6551724137931034,0.46875,0.5058823529411764,0.3762137333891228,2.029848732
Los Angeles Dodgers,18,10,0.6428571428571429,1.0,0.5176470588235293,0.5098288566935535,2.208874008
San Diego Padres,17,11,0.6071428571428571,0.34375,0.15294117647058814,0.06131957969242119,3.220550986
Arizona Diamondbacks,15,13,0.5357142857142857,0.84375,0.7294117647058822,0.6210044823207418,1.136522977
Colorado Rockies,4,23,0.14814814814814814,0.3125,0.0470588235294116,0.9999999999999999,-0.430975161
